,Location Name,Formal Name,Max Capacity,Accent Wall,Air Conditioner,Appliances Ceiling Fan,Bathroom,Bulletin Board,Carpet,Dobbs Ferry Classroom,Drawing Desks,Seating (mobile tablet arm chair desks),Blackboard (chalkboard),Cabinets,Individual Desks,Instructor's Podium,Instructor's Table,Mobile Furniture,Seating (basic tablet arm chair desks),Seating (mobile tablet arm chair desks w/ underseat storage),Seating (office chair),Seating (theatre style),Seating (triangular desks),Table (Physical Therapy),Table (Shared Long Tables),Whiteboard,Whiteboard (mobile),Honors,Lab Computer,Lab Smart Math,Lighting Dimmer Switch,MHLH Auditorium Pref,No Windows,Paper Towel Dispenser,Piano,Receptacles/Power Outlets,Safety Fire Extinguisher,Safety Hand Sanitizer (wipes/gel),Shades (blackout shades ideal for films),Shades/Blinds (basic),Sink,Sound Proof (ideal for film and music classes),Stage,Storage Room/Closet,AV Smart/Aquos Board,AV Space,Active Learning Classroom,Anatomage Table with wallmounted digital display,Cinema AutoScreen,Cinema Quality Projector,Cinema Quality Space (ideal for film classes),Computer Stations,Computers (MAC computers),Computers (laptops),Echo360,HDMI Connection,Lecture Capture,Level 2,Level 3,Mircrophones & Speech Reinforcement,Printer,Projector (Interactive Touch Technology),Projector (basic),Projector (laser),Projector Screen,Software Available: Tableau,Speakers,TV (multipanel),TV / DVD,TV / DVD (mobile),Video Conference Capabilities,Wireless Connection Pods,Zoom Software Installed,Telephone (standard),Thermostat,Unit Ventilator,Wall Clock analog/digital
48,VICTORY VIC206,Dobbs Ferry Victory Hall Classroom VIC206,40.00,,1.00,,,,1.00,1.00,,,,,,1.00,1.00,1.00,,,,,,,20.00,1.00,,,,,1.00,,,,,30.00,,,,8.00,,,,,,1.00,,,,,1.00,,,,,,,1.00,,,,,1.00,,1.00,,,,,,,,,,,2.00,
49,VICTORY VIC212,Dobbs Ferry Victory Hall Computer Lab VIC212,32.00,,2.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,,16.00,2.00,,,1.00,1.00,,,,,,60.00,,,,8.00,,,,,,1.00,,,,,,32.00,,,,,,1.00,,,2.00,,1.00,,1.00,,1.00,,,,,,,,,4.00,
50,VICTORY VIC214,Dobbs Ferry Victory Hall Computer Lab VIC214,32.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,,16.00,2.00,,,1.00,1.00,,,,,,23.00,,,,8.00,,,,,,1.00,,,,,,32.00,,,,,,1.00,,,2.00,,1.00,,1.00,,1.00,,,,,,,,,4.00,
51,VICTORY VIC215,Dobbs Ferry Victory Hall Computer Lab VIC215,30.00,,1.00,2.00,,,1.00,1.00,,,,,,1.00,,,,,,,,,19.00,2.00,,,1.00,,,,,,,22.00,,1.00,,8.00,,,,,,1.00,,,,,,15.00,3.00,,,,,1.00,,,2.00,,1.00,,1.00,1.00,1.00,,,,,,,,,4.00,
52,VICTORY VIC216,Dobbs Ferry Victory Hall Classroom VIC216,20.00,,1.00,,,,1.00,1.00,,,,,20.00,1.00,1.00,,20.00,,,,,,,2.00,,,,,,,,,,21.00,,,,4.00,,,,,,1.00,,,,,1.00,,,,,,,1.00,,,,,,,1.00,,,,,,,,,,,2.00,
53,BRONX BX1250,Bronx Multifaith Room BX1250,12.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,0.00,,0.00,,,,0.00,,4.00,0.00,0.00,,,0.00,0.00,1.00,0.00,0.00,5.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,,0.00,,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
54,BRONX BX1260,Bronx Classroom BX1260,53.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,1.00,0.00,,0.00,,,,0.00,16.00,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,7.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,1.00,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
55,BRONX BX1270,Bronx Classroom BX1270,53.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,1.00,0.00,,0.00,,,,0.00,15.00,3.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,5.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,1.00,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
56,BRONX BX1295,Bronx Auditorium BX1295,154.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,1.00,,0.00,,0.00,,154.00,,0.00,,1.00,0.00,0.00,,,0.00,0.00,1.00,0.00,0.00,10.00,0.00,,0.00,,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,,,0.00,0.00,0
57,BRONX BX1330,Bronx Computer Lab BX1330,20.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,1.00,0.00,,0.00,,,,0.00,12.00,4.00,0.00,0.00,1.00,,0.00,0.00,1.00,0.00,0.00,7.00,0.00,1.00,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,,0.00,0.00,0.00,,,,2.00,,1.00,0.00,1.00,0.00,,0.00,,0.00,,,,1.00,0.00,0.00,0
58,BRONX BX1336,Bronx Classroom BX1336,35.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,30.00,1.00,1.00,0.00,30.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,1.00,0.00,0.00,87.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,,0.00,,0.00,2.00,0.00,,0.00,,1.00,,,0.00,0.00,0
59,BRONX BX1340,Bronx Computer Lab BX1340,20.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,1.00,0.00,,0.00,,,,0.00,12.00,3.00,0.00,0.00,,,0.00,0.00,1.00,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.00,0.00,0.00,0.00,1.00,,,,1.00,,0.00,,0.00,,0.00,,0.00,,,,1.00,0.00,0.00,0
60,BRONX BX1344,Bronx Computer Lab BX1344,20.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,,0.00,,0.00,,,,0.00,12.00,3.00,0.00,0.00,1.00,,0.00,0.00,1.00,0.00,0.00,7.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,,0.00,0.00,0.00,1.00,,,2.00,1.00,,0.00,,0.00,,0.00,,0.00,,,,1.00,0.00,0.00,0
61,BRONX BX1370,Bronx Classroom BX1370,40.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,40.00,1.00,1.00,0.00,40.00,0.00,,,,0.00,,3.00,0.00,0.00,,,0.00,0.00,1.00,0.00,0.00,49.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
62,BRONX BX1380,Bronx Computer Lab BX1380,24.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,1.00,0.00,,0.00,,,,0.00,12.00,3.00,0.00,0.00,1.00,,0.00,0.00,1.00,0.00,0.00,20.00,0.00,1.00,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,,0.00,0.00,0.00,1.00,,,2.00,,1.00,0.00,1.00,0.00,2.00,0.00,,0.00,,,,1.00,0.00,0.00,0
63,BRONX BX1390,Bronx Computer Lab BX1390,32.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,,0.00,,0.00,,,,0.00,16.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,16.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,,0.00,0.00,0.00,1.00,,,2.00,1.00,1.00,0.00,,0.00,2.00,0.00,,0.00,,,,,0.00,0.00,0
64,BRONX BX2210,Bronx Video Conference Classroom BX2210,12.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,1.00,,0.00,,0.00,12.00,,,0.00,1.00,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,20.00,0.00,,0.00,5.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,1.00,,,,,0.00,,0.00,,0.00,2.00,0.00,1.00,,1.00,,0.00,0.00,0
65,BRONX BX2255,Bronx Classroom BX2255,9.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,1.00,,0.00,,0.00,,,,0.00,4.00,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,,0.00,,0.00,,0.00,1.00,0.00,,,,,0.00,0.00,0
66,BRONX BX2265,Bronx Classroom BX2265,15.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,15.00,1.00,1.00,0.00,15.00,0.00,,,,0.00,,2.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,6.00,0.00,,0.00,,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,1.00,,,,,,0.00,,0.00,,0.00,1.00,0.00,,,,,0.00,0.00,0
